iter	RMSE
599	3676745.279
600	3675243.404
601	3673570.118
602	3671773.302
603	3670128.137
604	3668083.176
605	3666486.576
606	3664673.614
607	3663447.808
608	3661824.513
609	3660410.678
610	3659028.381
611	3657893.726
612	3656223.974
613	3654544.812
614	3653306.529
615	3651777.815
616	3650381.008
617	3648599.427
618	3646817.274
619	3645488.554
620	3644240.676
621	3642805.017
622	3641233.256
623	3639837.393
624	3638532.498
625	3637452.169
626	3636241.648
627	3634607.753
628	3633381.13
629	3631500.601
630	3630405.343
631	3628871.654
632	3627427.807
633	3626339.881
634	3624853.375
635	3623823.809
636	3622634.872
637	3620960.935
638	3619652.901
639	3617939.813
640	3616410.026
641	3615394.03
642	3614222.512
643	3613194.72
644	3611939.004
645	3610629.106
646	3609501.331
647	3608354.254
648	3606997.378
649	3606071.831
650	3604910.023
651	3603998.943
652	3602689.772
653	3601618.99
654	3600502.3
655	3598997.244
656	3597711.935
657	3596536.576
658	3595574.609
659	3594481.869
660	3593472.112
661	3592156.47
662	3590963.294
663	3589739.561
664	3588338.587
665	3587007.349
666	3586010.511
667	3584778.072
668	3583567.813
669	3582482.977
670	3581607.223
671	3580368.731
672	3579406.743
673	3578201.5
674	3576856.124
675	3575827.623
676	3574485.866
677	3573188.311
678	3572115.67
679	3571167.107
680	3570001.611
681	3569066.044
682	3567975.184
683	3566646.813
684	3565584.51
685	3564274.764
686	3562943.436
687	3561744.573
688	3560657.651
689	3559861.084
690	3558769.862
691	3557291.602
692	3556326.671
693	3555388.26
694	3554314.848
695	3553267.1
696	3552092.099
697	3551191.334
698	3550433.729
699	3549557.196
700	3548670.285
701	3547417.401
702	3546451.871
703	3545591.632
704	3544790.475
705	3543913.162
706	3542821.088
707	3541909.196
708	3540768.227
709	3539730.034
710	3539125.701
711	3538369.217
712	3537427.594
713	3536240.292
714	3535399.107
715	3534474.739
716	3533588.513
717	3532776.251
718	3531650.416
719	3530810.202
720	3529657.705
721	3528665.074
722	3527745.848
723	3526887.452
724	3525748.347
725	3524653.535
726	3523973.711
727	3523054.763
728	3522300.857
729	3521318.903
730	3520808.836
731	3520118.74
732	3519413.368
733	3518644.864
734	3517297.49
735	3516366.576
736	3515543.17
737	3514345.225
738	3513443.854
739	3512360.356
740	3511244.891
741	3510568.575
742	3509715.496
743	3509186.163
744	3508450.931
745	3507499.573
746	3506408.172
747	3505853.373
748	3504983.409
749	3503961.235
750	3502937.79
751	3501902.562
752	3501188.415
753	3500171.631
754	3499414.463
755	3498424.423
756	3497373.076
757	3496629.363
758	3496050.096
759	3495306.449
760	3494012.862
761	3492943.717
762	3492424.414
763	3491580.187
764	3490760.333
765	3490048.078
766	3489283.37
767	3488345.844
768	3487786.464
769	3486878.225
770	3486221.393
771	3485420.941
772	3484764.55
773	3483971.382
774	3483223.084
775	3482504.876
776	3481710.084
777	3480966.504
778	3480320.185
779	3479314.611
780	3477859.495
781	3477068.623
782	3476449.905
783	3475760.379
784	3474965.943
785	3474059.595
786	3473374.278
787	3472463.366
788	3471603.616
789	3470932.074
790	3470243.999
791	3469471.65
792	3468826.898
793	3468389.682
794	3467466.791
795	3466744.561
796	3466093.706
797	3465345.637
798	3464733.52
799	3463923.789
800	3463002.199
801	3462116.884
802	3461175.947
803	3460537.497
804	3459534.382
805	3458666.044
806	3457821.83
807	3457110.784
808	3456460.927
809	3455893.696
810	3455387.36
811	3454594.888
812	3453952.764
813	3452932.598
814	3452266.841
815	3451026.486
816	3450188.148
817	3449739.284
818	3449135.131
819	3448637.25
820	3447490.201
821	3446688.97
822	3445732.26
823	3444470.751
824	3443045.77
825	3441925.453
826	3441404.61
827	3440716.609
828	3439938.568
829	3439210.398
830	3438678.798
831	3437984.724
832	3437601.626
833	3437056.341
834	3436288.788
835	3435418.695
836	3434539.622
837	3434089.118
838	3432925.498
839	3432195.448
840	3431316.456
841	3430651.554
842	3430064.747
843	3429552.8
844	3429038.62
845	3428218.794
846	3427814.802
847	3427169.313
848	3426643.261
849	3425833.213
850	3425514.398
851	3425096.283
852	3424421.084
853	3423868.353
854	3423341.026
855	3422336.92
856	3421818.253
857	3421278.155
858	3420517.199
859	3419744.325
860	3419032.047
861	3418256.743
862	3417616.119
863	3416497.34
864	3415991.746
865	3415266.555
866	3414259.886
867	3413682.601
868	3412695.141
869	3412314.345
870	3411844.334
871	3410972.872
872	3410198.527
873	3409638.003
874	3409158.284
875	3408760.203
876	3407976.146
877	3407407.165
878	3406998.098
879	3406360.679
880	3405900.891
881	3405504.25
882	3404941.082
883	3404415.456
884	3403727.288
885	3403012.42
886	3402634.435
887	3402148.118
888	3401394.408
889	3400753.9
890	3400135.4
891	3399484.598
892	3398893.811
893	3398117.271
894	3397080.178
895	3396535.228
896	3395860.454
897	3395403.608
898	3394538.522
899	3393888.903
900	3393319.05
901	3392370.188
902	3391595.794
903	3391177.572
904	3390815.754
905	3390425.729
906	3390005.881
907	3389662.491
908	3389023.294
909	3388507.203
910	3387938.182
911	3387377.39
912	3386630.898
913	3385967.029
914	3385553.06
915	3384975.312
916	3384426.221
917	3383597.324
918	3382926.831
919	3382408.387
920	3381798.901
921	3381190.569
922	3380508.292
923	3380033.009
924	3379162.903
925	3378098.735
926	3377449.735
927	3377010.377
928	3376039.801
929	3375571.277
930	3375034.464
931	3374495.96
932	3373907.311
933	3373513.073
934	3372988.648
935	3372418.433
936	3372068.436
937	3371297.774
938	3370868.11
939	3370379.893
940	3369980.29
941	3369629.574
942	3368953.216
943	3368340.302
944	3367892.148
945	3367414.666
946	3366806.641
947	3366549.778
948	3366078.571
949	3365382.198
950	3364900.965
951	3364327.475
952	3363635.365
953	3363144.863
954	3362628.416
955	3361883.613
956	3361492.797
957	3361010.589
958	3360470.552
959	3359964.31
960	3359576.533
961	3359193.307
962	3358827.091
963	3358286.526
964	3357941.785
965	3357350.208
966	3356583.605
967	3356068.854
968	3355492.45
969	3354853.652
970	3354480.463
971	3353922.533
972	3353332.423
973	3352710.27
974	3352172.287
975	3351803.36
976	3351396.005
977	3351026.294
978	3350339.462
979	3349826.587
980	3349247.215
981	3348737.096
982	3348355.774
983	3348005.762
984	3347198.319
985	3346659.131
986	3345995.166
987	3345121.22
988	3344489.159
989	3343827.776
990	3343576.465
991	3343273.252
992	3342751.386
993	3342254.203
994	3341706.796
995	3341193.342
996	3340830.37
997	3340374.718
998	3339571.508
999	3339204.469
1000	3338748.923
1001	3338511.418
1002	3337821.119
1003	3337461.842
1004	3336875.557
1005	3335905.945
1006	3335445.58
1007	3334934.708
1008	3334034.325
1009	3333213.881
1010	3332893.968
1011	3332531.774
1012	3332233.881
1013	3331716.257
1014	3331242.389
1015	3330697.198
1016	3330495.946
