iter	Passed	Remaining
0	6	49915
1	12	50463
2	18	51655
3	25	52239
4	31	51978
5	38	52032
6	43	50972
7	48	50069
8	54	49719
9	60	49536
10	67	49989
11	72	49514
12	78	49386
13	84	49434
14	90	49089
15	95	48846
16	100	48494
17	105	48089
18	111	47763
19	116	47445
20	121	47247
21	126	46992
22	131	46812
23	136	46403
24	141	46257
25	146	45990
26	151	45727
27	156	45577
28	161	45430
29	166	45354
30	172	45321
31	177	45209
32	182	45122
33	187	45062
34	192	44977
35	198	44890
36	203	44917
37	209	44887
38	214	44915
39	220	44855
40	225	44862
41	231	44951
42	238	45133
43	246	45564
44	253	45831
45	259	45996
46	265	46087
47	272	46153
48	278	46207
49	284	46284
50	289	46249
51	295	46229
52	301	46254
53	307	46282
54	313	46354
55	318	46312
56	324	46330
57	337	47334
58	352	48623
59	362	49129
60	370	49387
61	376	49346
62	381	49289
63	387	49249
64	394	49348
65	400	49251
66	405	49214
67	411	49187
68	417	49165
69	423	49128
70	429	49121
71	435	49157
72	441	49141
73	447	49142
74	453	49119
75	459	49087
76	465	49032
77	470	48967
78	475	48876
79	481	48776
80	486	48689
81	490	48560
82	495	48419
83	500	48357
84	506	48322
85	512	48275
86	517	48198
87	522	48132
88	528	48083
89	533	48064
90	539	47998
91	544	47920
92	549	47868
93	554	47801
94	559	47717
95	565	47669
96	570	47615
97	575	47569
98	581	47532
99	586	47474
100	592	47453
101	597	47399
102	603	47356
103	608	47346
104	614	47321
105	619	47268
106	624	47219
107	630	47208
108	636	47175
109	641	47126
110	646	47081
111	651	47020
112	656	46955
113	661	46896
114	666	46833
115	671	46766
116	676	46710
117	682	46688
118	687	46629
119	692	46586
120	697	46538
121	702	46497
122	708	46453
123	713	46415
124	718	46396
125	723	46344
126	729	46300
127	733	46239
128	738	46181
129	743	46124
130	748	46064
131	754	46048
132	759	46030
133	764	45982
134	769	45945
135	775	45917
136	780	45915
137	786	45913
138	792	45941
139	798	45947
140	805	45992
141	811	46000
142	817	45996
143	823	46028
144	829	46036
145	835	46019
146	840	46016
147	846	45988
148	851	45987
149	857	45999
150	864	46018
151	870	46020
152	875	46024
153	881	46014
154	887	45997
155	892	45996
156	899	46024
157	905	46051
158	911	46044
159	916	46024
160	922	46027
161	928	46019
162	939	46263
163	944	46256
164	951	46280
165	957	46296
166	963	46294
167	969	46311
168	975	46323
169	981	46301
170	987	46324
171	993	46328
172	1000	46356
173	1006	46373
174	1012	46391
175	1017	46364
176	1023	46364
177	1029	46365
178	1035	46356
179	1041	46353
180	1047	46356
181	1053	46345
182	1058	46330
183	1064	46311
184	1069	46306
185	1075	46314
186	1081	46292
187	1086	46253
188	1091	46215
189	1096	46169
190	1101	46140
191	1106	46102
192	1111	46080
193	1117	46070
194	1123	46058
195	1128	46053
196	1135	46075
197	1140	46047
198	1146	46033
199	1152	46055
200	1157	46031
201	1163	46007
202	1169	46014
203	1174	46003
204	1180	46002
205	1186	45991
206	1192	45989
207	1197	45972
208	1203	45953
209	1208	45926
210	1213	45897
211	1218	45873
212	1223	45850
213	1229	45836
214	1235	45821
215	1239	45781
216	1244	45749
217	1250	45722
218	1255	45706
219	1261	45703
220	1266	45678
221	1271	45647
222	1277	45654
223	1282	45623
224	1287	45603
225	1293	45589
226	1298	45579
227	1303	45546
228	1310	45584
229	1318	45655
230	1325	45674
231	1331	45684
232	1336	45668
233	1342	45663
234	1348	45664
235	1354	45664
236	1361	45688
237	1367	45698
238	1374	45726
239	1380	45746
240	1387	45766
241	1393	45785
242	1400	45807
243	1407	45833
244	1413	45846
245	1420	45870
246	1426	45875
247	1433	45911
248	1439	45929
249	1446	45947
250	1452	45965
251	1459	45984
252	1466	46007
253	1472	46014
254	1478	46017
255	1485	46047
256	1492	46080
257	1498	46083
258	1504	46091
259	1511	46109
260	1517	46107
261	1523	46114
262	1529	46106
263	1534	46096
264	1540	46095
265	1547	46107
266	1553	46108
267	1559	46102
268	1569	46216
269	1575	46220
270	1597	46693
271	1617	47097
272	1625	47142
273	1633	47197
274	1644	47354
275	1651	47354
276	1657	47365
277	1663	47351
278	1668	47328
279	1675	47340
280	1681	47333
281	1686	47307
282	1691	47282
283	1697	47265
284	1702	47244
285	1707	47214
286	1713	47204
287	1720	47206
288	1726	47200
289	1731	47189
290	1738	47199
291	1744	47187
292	1749	47172
293	1755	47163
294	1762	47190
295	1768	47182
296	1774	47159
297	1779	47136
298	1784	47114
299	1790	47095
300	1797	47125
301	1802	47101
302	1807	47069
303	1812	47039
304	1818	47014
305	1823	47003
306	1829	46985
307	1834	46968
308	1840	46944
309	1845	46912
310	1851	46910
