iter	Passed	Remaining
311	1857	46905
312	1863	46902
313	1869	46911
314	1880	47035
315	1891	47138
316	1899	47192
317	1907	47226
318	1914	47241
319	1921	47276
320	1929	47302
321	1936	47332
322	1943	47350
323	1951	47378
324	1958	47403
325	1965	47426
326	1972	47441
327	1981	47502
328	1989	47551
329	1997	47592
330	2006	47641
331	2013	47671
332	2022	47735
333	2031	47785
334	2039	47831
335	2049	47923
336	2061	48060
337	2070	48103
338	2079	48179
339	2088	48231
340	2097	48293
341	2104	48313
342	2111	48328
343	2119	48348
344	2128	48412
345	2135	48423
346	2142	48426
347	2190	49379
348	2221	49924
349	2240	50199
350	2254	50363
351	2268	50515
352	2282	50685
353	2298	50895
354	2321	51259
355	2354	51817
356	2379	52220
357	2392	52352
358	2409	52576
359	2430	52883
360	2448	53118
361	2470	53438
362	2492	53763
363	2532	54455
364	2599	55749
365	2643	56515
366	2712	57834
367	2767	58845
368	2790	59163
369	2814	59503
370	2837	59821
371	2860	60138
372	2872	60219
373	2883	60285
374	2895	60359
375	2906	60426
376	2917	60481
377	2932	60615
378	2939	60594
379	2947	60586
380	2956	60617
381	2964	60612
382	2973	60622
383	2979	60591
384	2987	60587
385	2994	60558
386	3000	60521
387	3006	60478
388	3013	60447
389	3021	60441
390	3028	60414
391	3034	60372
392	3041	60348
393	3047	60318
394	3053	60269
395	3081	60658
396	3091	60710
397	3098	60676
398	3104	60634
399	3110	60600
400	3119	60611
401	3126	60591
402	3134	60573
403	3139	60529
404	3146	60496
405	3152	60462
406	3159	60438
407	3165	60402
408	3172	60368
409	3178	60335
410	3187	60338
411	3202	60480
412	3210	60480
413	3220	60505
414	3229	60513
415	3237	60518
416	3245	60517
417	3256	60568
418	3266	60589
419	3273	60573
420	3280	60560
421	3288	60549
422	3296	60537
423	3303	60528
424	3310	60505
425	3317	60485
426	3325	60474
427	3333	60461
428	3341	60459
429	3348	60449
430	3355	60417
431	3362	60394
432	3368	60359
433	3384	60501
434	3412	60848
435	3419	60825
436	3426	60805
437	3433	60775
438	3440	60755
439	3449	60776
440	3455	60737
441	3462	60718
442	3472	60747
443	3480	60733
444	3486	60693
445	3492	60663
446	3499	60636
447	3506	60615
448	3514	60609
449	3520	60569
450	3526	60529
451	3532	60488
452	3538	60445
453	3544	60419
454	3550	60382
455	3557	60351
456	3563	60309
457	3569	60278
458	3575	60241
459	3582	60215
460	3588	60183
461	3594	60141
462	3600	60107
463	3607	60082
464	3614	60064
465	3620	60033
466	3628	60021
467	3635	60002
468	3642	59974
469	3648	59945
470	3655	59916
471	3662	59901
472	3668	59870
473	3674	59836
474	3682	59819
475	3689	59799
476	3695	59769
477	3703	59759
478	3709	59724
479	3715	59695
480	3722	59671
481	3728	59645
482	3735	59617
483	3741	59593
484	3749	59580
485	3755	59554
486	3762	59531
487	3770	59528
488	3776	59494
489	3783	59473
490	3790	59443
491	3796	59420
492	3802	59388
493	3808	59352
494	3814	59308
495	3819	59270
496	3825	59237
497	3832	59209
498	3838	59179
499	3844	59146
500	3850	59112
501	3857	59087
502	3863	59059
503	3869	59032
504	3878	59031
505	3885	59024
506	3892	59006
507	3898	58975
508	3904	58929
509	3909	58892
510	3916	58870
511	3922	58835
512	3928	58798
513	3933	58763
514	3940	58732
515	3946	58714
516	3952	58674
517	3957	58635
518	3962	58588
519	3967	58538
520	3972	58496
521	3978	58461
522	3984	58427
523	3990	58397
524	3996	58362
525	4001	58322
526	4006	58279
527	4011	58232
528	4017	58198
529	4022	58158
530	4027	58111
531	4032	58067
532	4038	58027
533	4043	57988
534	4049	57952
535	4067	58097
536	4074	58086
537	4082	58084
538	4089	58058
539	4094	58023
540	4099	57979
541	4105	57944
542	4110	57906
543	4116	57868
544	4121	57831
545	4126	57789
546	4132	57751
547	4137	57709
548	4142	57671
549	4147	57630
550	4153	57595
551	4159	57563
552	4164	57529
553	4169	57484
554	4175	57452
555	4181	57424
556	4188	57416
557	4194	57383
558	4199	57343
559	4204	57305
560	4210	57270
561	4215	57231
562	4220	57196
563	4226	57158
564	4231	57115
565	4236	57075
566	4241	57038
567	4246	56997
568	4251	56963
569	4257	56924
570	4262	56885
571	4267	56854
572	4273	56817
573	4278	56779
574	4283	56746
575	4288	56707
576	4293	56664
577	4298	56627
578	4303	56586
579	4308	56543
580	4313	56507
581	4318	56471
582	4324	56435
583	4329	56397
584	4334	56362
585	4339	56327
586	4344	56288
587	4350	56259
588	4355	56222
589	4360	56186
590	4366	56153
591	4371	56125
592	4377	56093
593	4383	56065
594	4388	56028
595	4393	55991
596	4398	55954
597	4403	55920
598	4408	55885
599	4413	55845
600	4418	55809
601	4423	55770
602	4428	55729
603	4475	56228
604	4496	56389
605	4524	56643
606	4551	56871
607	4577	57095
608	4611	57423
609	4632	57573
610	4664	57877
611	4713	58374
612	4764	58903
613	4799	59234
614	4818	59359
615	4995	61437
616	5028	61730
617	5046	61848
618	5063	61942
619	5091	62181
620	5110	62305
621	5120	62315
622	5130	62333
623	5141	62360
624	5153	62397
625	5183	62648
626	5195	62684
627	5204	62683
628	5212	62677
629	5220	62665
630	5228	62654
631	5237	62652
632	5286	63124
633	5299	63177
634	5308	63177
635	5316	63157
636	5324	63155
637	5335	63167
638	5350	63242
639	5363	63286
640	5372	63290
641	5382	63297
642	5393	63320
643	5406	63362
644	5422	63445
645	5438	63532
646	5452	63583
647	5469	63673
648	5479	63686
649	5490	63710
650	5503	63756
651	5516	63791
652	5529	63837
653	5538	63835
654	5547	63837
655	5557	63846
656	5567	63849
657	5577	63862
658	5589	63898
659	5600	63909
660	5611	63934
661	5622	63952
662	5632	63964
663	5644	63996
664	5653	63987
665	5662	63986
666	5670	63978
667	5679	63971
668	5686	63948
669	5694	63931
670	5702	63916
671	5710	63900
672	5716	63871
673	5724	63850
674	5730	63820
675	5738	63806
676	5745	63780
677	5752	63754
678	5760	63737
679	5769	63736
680	5802	64002
681	5817	64057
682	5825	64043
683	5831	64006
684	5839	63992
685	5846	63971
686	5855	63962
687	5862	63942
688	5869	63920
689	5877	63901
690	5884	63881
691	5891	63852
692	5897	63822
693	5904	63789
694	5911	63768
695	5918	63741
696	5925	63720
697	5932	63695
698	5939	63673
